Date,Month,Day of the Week,Daily Followers,Accumulated Followers
2024-10-12,October,Saturday,34,7579
2024-10-13,October,Sunday,26,7605
2024-10-14,October,Monday,36,7641
2024-10-15,October,Tuesday,28,7669
2024-10-16,October,Wednesday,19,7688
2024-10-17,October,Thursday,15,7703
2024-10-18,October,Friday,4,7707
2024-10-19,October,Saturday,2,7709
2024-10-20,October,Sunday,9,7718
2024-10-21,October,Monday,7,7725
2024-10-22,October,Tuesday,25,7750
2024-10-23,October,Wednesday,49,7799
2024-10-24,October,Thursday,42,7841
2024-10-25,October,Friday,18,7859
2024-10-26,October,Saturday,24,7883
2024-10-27,October,Sunday,29,7912
2024-10-28,October,Monday,37,7949
2024-10-29,October,Tuesday,49,7998
2024-10-30,October,Wednesday,44,8042
2024-10-31,October,Thursday,25,8067
2024-11-01,November,Friday,24,8091
2024-11-02,November,Saturday,23,8114
2024-11-03,November,Sunday,31,8145
2024-11-04,November,Monday,13,8158
2024-11-05,November,Tuesday,15,8173
2024-11-06,November,Wednesday,12,8185
2024-11-07,November,Thursday,24,8209
2024-11-08,November,Friday,25,8234
2024-11-09,November,Saturday,17,8251
2024-11-10,November,Sunday,25,8276
2024-11-11,November,Monday,12,8288
2024-11-12,November,Tuesday,14,8302
2024-11-13,November,Wednesday,12,8314
2024-11-14,November,Thursday,11,8325
2024-11-15,November,Friday,13,8338
2024-11-16,November,Saturday,22,8360
2024-11-17,November,Sunday,24,8384
2024-11-18,November,Monday,7,8391
2024-11-19,November,Tuesday,4,8395
2024-11-20,November,Wednesday,11,8406
2024-11-21,November,Thursday,12,8418
2024-11-22,November,Friday,8,8426
2024-11-23,November,Saturday,10,8436
2024-11-24,November,Sunday,16,8452
2024-11-25,November,Monday,7,8459
2024-11-26,November,Tuesday,10,8469
2024-11-27,November,Wednesday,0,8469
2024-11-28,November,Thursday,0,8469
2024-11-29,November,Friday,0,8469
2024-11-30,November,Saturday,11,8480
2024-12-01,December,Sunday,8,8488
2024-12-02,December,Monday,7,8495
2024-12-03,December,Tuesday,6,8501
2024-12-04,December,Wednesday,7,8508
2024-12-05,December,Thursday,8,8516
2024-12-06,December,Friday,7,8523
2024-12-07,December,Saturday,-1,8522
2024-12-08,December,Sunday,3,8525
2024-12-09,December,Monday,0,8525
2024-12-10,December,Tuesday,3,8528
2024-12-11,December,Wednesday,4,8532
2024-12-12,December,Thursday,8,8540
2024-12-13,December,Friday,3,8543
2024-12-14,December,Saturday,2,8545
2024-12-15,December,Sunday,1,8546
2024-12-16,December,Monday,16,8562
2024-12-17,December,Tuesday,17,8579
2024-12-18,December,Wednesday,19,8598
2024-12-19,December,Thursday,7,8605
2024-12-20,December,Friday,6,8611
2024-12-21,December,Saturday,2,8613
2024-12-22,December,Sunday,5,8618
2024-12-23,December,Monday,7,8625
2024-12-24,December,Tuesday,4,8629
2024-12-25,December,Wednesday,2,8631
2024-12-26,December,Thursday,6,8637
2024-12-27,December,Friday,23,8660
2024-12-28,December,Saturday,9,8669
2024-12-29,December,Sunday,16,8685
2024-12-30,December,Monday,18,8703
2024-12-31,December,Tuesday,9,8712
2025-01-01,January,Wednesday,5,8717
2025-01-02,January,Thursday,10,8727
2025-01-03,January,Friday,18,8745
2025-01-04,January,Saturday,15,8760
2025-01-05,January,Sunday,4,8764
2025-01-06,January,Monday,18,8782
2025-01-07,January,Tuesday,21,8803
2025-01-08,January,Wednesday,22,8825
2025-01-09,January,Thursday,6,8831
2025-01-10,January,Friday,11,8842
2025-01-11,January,Saturday,8,8850
2025-01-12,January,Sunday,15,8865
2025-01-13,January,Monday,23,8888
2025-01-14,January,Tuesday,15,8903
2025-01-15,January,Wednesday,21,8924
2025-01-16,January,Thursday,7,8931
2025-01-17,January,Friday,8,8939
2025-01-18,January,Saturday,0,8939
2025-01-19,January,Sunday,0,8939
2025-01-20,January,Monday,0,8939
2025-01-21,January,Tuesday,0,8939
